Question,Nationality,Gender,Rank,Percentage
They have similar interests to me,British,Women,5,0.13
They have similar interests to me,British,Women,6,0.06
They are good looking,Danish,Men,1,0.11
They are good looking,Danish,Men,2,0.16
They are good looking,Danish,Men,3,0.18
They are good looking,Danish,Men,4,0.22
They are good looking,Danish,Men,5,0.28
They are good looking,Danish,Men,6,0.05
They have a personality I like,Danish,Men,1,0.68
They have a personality I like,Danish,Men,2,0.18
They have a personality I like,Danish,Men,3,0.08
They have a personality I like,Danish,Men,4,0.03
They have a personality I like,Danish,Men,5,0.02
They have a personality I like,Danish,Men,6,0.01
They have a sense of humour I like,Danish,Men,1,0.08
They have a sense of humour I like,Danish,Men,2,0.37
They have a sense of humour I like,Danish,Men,3,0.25
They have a sense of humour I like,Danish,Men,4,0.19
They have a sense of humour I like,Danish,Men,5,0.09
They have a sense of humour I like,Danish,Men,6,0.02
They are intelligent,Danish,Men,1,0.09
They are intelligent,Danish,Men,2,0.15
They are intelligent,Danish,Men,3,0.31
They are intelligent,Danish,Men,4,0.28
They are intelligent,Danish,Men,5,0.14
They are intelligent,Danish,Men,6,0.02
They have/make a decent amount of money,Danish,Men,1,0
They have/make a decent amount of money,Danish,Men,2,0.01
They have/make a decent amount of money,Danish,Men,3,0.03
They have/make a decent amount of money,Danish,Men,4,0.03
They have/make a decent amount of money,Danish,Men,5,0.11
They have/make a decent amount of money,Danish,Men,6,0.81
They have similar interests to me,Danish,Men,1,0.04
They have similar interests to me,Danish,Men,2,0.12
They have similar interests to me,Danish,Men,3,0.15
They have similar interests to me,Danish,Men,4,0.25
They have similar interests to me,Danish,Men,5,0.35
They have similar interests to me,Danish,Men,6,0.08
They are good looking,Danish,Women,1,0.05
They are good looking,Danish,Women,2,0.06
They are good looking,Danish,Women,3,0.11
They are good looking,Danish,Women,4,0.19
They are good looking,Danish,Women,5,0.44
They are good looking,Danish,Women,6,0.16
They have a personality I like,Danish,Women,1,0.69
They have a personality I like,Danish,Women,2,0.17
They have a personality I like,Danish,Women,3,0.1
They have a personality I like,Danish,Women,4,0.02
They have a personality I like,Danish,Women,5,0.01
They have a personality I like,Danish,Women,6,0.01
They have a sense of humour I like,Danish,Women,1,0.14
They have a sense of humour I like,Danish,Women,2,0.45
They have a sense of humour I like,Danish,Women,3,0.25
They have a sense of humour I like,Danish,Women,4,0.11
They have a sense of humour I like,Danish,Women,5,0.03
They have a sense of humour I like,Danish,Women,6,0.01
They are intelligent,Danish,Women,1,0.07
They are intelligent,Danish,Women,2,0.19
They are intelligent,Danish,Women,3,0.31
They are intelligent,Danish,Women,4,0.29
They are intelligent,Danish,Women,5,0.12
They are intelligent,Danish,Women,6,0.02
They have/make a decent amount of money,Danish,Women,1,0
They have/make a decent amount of money,Danish,Women,2,0.02
They have/make a decent amount of money,Danish,Women,3,0.02
They have/make a decent amount of money,Danish,Women,4,0.04
They have/make a decent amount of money,Danish,Women,5,0.2
They have/make a decent amount of money,Danish,Women,6,0.72
They have similar interests to me,Danish,Women,1,0.05
They have similar interests to me,Danish,Women,2,0.12
They have similar interests to me,Danish,Women,3,0.21
They have similar interests to me,Danish,Women,4,0.34
They have similar interests to me,Danish,Women,5,0.2
They have similar interests to me,Danish,Women,6,0.08
They are good looking,Egyptian,Men,1,0.31
They are good looking,Egyptian,Men,2,0.19
They are good looking,Egyptian,Men,3,0.18
They are good looking,Egyptian,Men,4,0.13
They are good looking,Egyptian,Men,5,0.15
They are good looking,Egyptian,Men,6,0.03
They have a personality I like,Egyptian,Men,1,0.36
They have a personality I like,Egyptian,Men,2,0.23
They have a personality I like,Egyptian,Men,3,0.17
They have a personality I like,Egyptian,Men,4,0.12
They have a personality I like,Egyptian,Men,5,0.07
They have a personality I like,Egyptian,Men,6,0.05
They have a sense of humour I like,Egyptian,Men,1,0.06
They have a sense of humour I like,Egyptian,Men,2,0.16
They have a sense of humour I like,Egyptian,Men,3,0.16
They have a sense of humour I like,Egyptian,Men,4,0.27
They have a sense of humour I like,Egyptian,Men,5,0.27
They have a sense of humour I like,Egyptian,Men,6,0.07
They are intelligent,Egyptian,Men,1,0.15
They are intelligent,Egyptian,Men,2,0.24
They are intelligent,Egyptian,Men,3,0.25
They are intelligent,Egyptian,Men,4,0.22
They are intelligent,Egyptian,Men,5,0.11
They are intelligent,Egyptian,Men,6,0.03
They have/make a decent amount of money,Egyptian,Men,1,0.01
They have/make a decent amount of money,Egyptian,Men,2,0.03
They have/make a decent amount of money,Egyptian,Men,3,0.05
They have/make a decent amount of money,Egyptian,Men,4,0.05
They have/make a decent amount of money,Egyptian,Men,5,0.13
They have/make a decent amount of money,Egyptian,Men,6,0.72
They have similar interests to me,Egyptian,Men,1,0.11
They have similar interests to me,Egyptian,Men,2,0.14
They have similar interests to me,Egyptian,Men,3,0.19
They have similar interests to me,Egyptian,Men,4,0.21
They have similar interests to me,Egyptian,Men,5,0.26
They have similar interests to me,Egyptian,Men,6,0.09
They are good looking,Egyptian,Women,1,0.12
They are good looking,Egyptian,Women,2,0.09
They are good looking,Egyptian,Women,3,0.13
They are good looking,Egyptian,Women,4,0.2
They are good looking,Egyptian,Women,5,0.27
They are good looking,Egyptian,Women,6,0.2
They have a personality I like,Egyptian,Women,1,0.53
They have a personality I like,Egyptian,Women,2,0.21
They have a personality I like,Egyptian,Women,3,0.11
They have a personality I like,Egyptian,Women,4,0.07
They have a personality I like,Egyptian,Women,5,0.06
They have a personality I like,Egyptian,Women,6,0.02
They have a sense of humour I like,Egyptian,Women,1,0.06
They have a sense of humour I like,Egyptian,Women,2,0.17
They have a sense of humour I like,Egyptian,Women,3,0.17
They have a sense of humour I like,Egyptian,Women,4,0.27
They have a sense of humour I like,Egyptian,Women,5,0.21
They have a sense of humour I like,Egyptian,Women,6,0.11
They are intelligent,Egyptian,Women,1,0.13
They are intelligent,Egyptian,Women,2,0.29
They are intelligent,Egyptian,Women,3,0.27
They are intelligent,Egyptian,Women,4,0.16
They are intelligent,Egyptian,Women,5,0.1
They are intelligent,Egyptian,Women,6,0.05
They have/make a decent amount of money,Egyptian,Women,1,0.01
They have/make a decent amount of money,Egyptian,Women,2,0.05
They have/make a decent amount of money,Egyptian,Women,3,0.1
They have/make a decent amount of money,Egyptian,Women,4,0.14
They have/make a decent amount of money,Egyptian,Women,5,0.22
They have/make a decent amount of money,Egyptian,Women,6,0.48
They have similar interests to me,Egyptian,Women,1,0.14
They have similar interests to me,Egyptian,Women,2,0.19
They have similar interests to me,Egyptian,Women,3,0.23
They have similar interests to me,Egyptian,Women,4,0.16
They have similar interests to me,Egyptian,Women,5,0.15
They have similar interests to me,Egyptian,Women,6,0.13
They are good looking,Filipino,Men,1,0.2
They are good looking,Filipino,Men,2,0.16
They are good looking,Filipino,Men,3,0.15
They are good looking,Filipino,Men,4,0.17
They are good looking,Filipino,Men,5,0.2
They are good looking,Filipino,Men,6,0.12
They have a personality I like,Filipino,Men,1,0.39
They have a personality I like,Filipino,Men,2,0.25
They have a personality I like,Filipino,Men,3,0.17
They have a personality I like,Filipino,Men,4,0.1
They have a personality I like,Filipino,Men,5,0.06
They have a personality I like,Filipino,Men,6,0.03
They have a sense of humour I like,Filipino,Men,1,0.1
They have a sense of humour I like,Filipino,Men,2,0.21
They have a sense of humour I like,Filipino,Men,3,0.21
They have a sense of humour I like,Filipino,Men,4,0.22
They have a sense of humour I like,Filipino,Men,5,0.18
They have a sense of humour I like,Filipino,Men,6,0.08
They are intelligent,Filipino,Men,1,0.16
They are intelligent,Filipino,Men,2,0.2
They are intelligent,Filipino,Men,3,0.23
They are intelligent,Filipino,Men,4,0.23
They are intelligent,Filipino,Men,5,0.15
They are intelligent,Filipino,Men,6,0.03
They have/make a decent amount of money,Filipino,Men,1,0.02
They have/make a decent amount of money,Filipino,Men,2,0.03
They have/make a decent amount of money,Filipino,Men,3,0.07
They have/make a decent amount of money,Filipino,Men,4,0.09
They have/make a decent amount of money,Filipino,Men,5,0.18
They have/make a decent amount of money,Filipino,Men,6,0.61
They have similar interests to me,Filipino,Men,1,0.13
They have similar interests to me,Filipino,Men,2,0.16
They have similar interests to me,Filipino,Men,3,0.15
They have similar interests to me,Filipino,Men,4,0.19
They have similar interests to me,Filipino,Men,5,0.23
They have similar interests to me,Filipino,Men,6,0.13
They are good looking,Filipino,Women,1,0.08
They are good looking,Filipino,Women,2,0.09
They are good looking,Filipino,Women,3,0.11
They are good looking,Filipino,Women,4,0.13
They are good looking,Filipino,Women,5,0.26
They are good looking,Filipino,Women,6,0.33
They have a personality I like,Filipino,Women,1,0.41
They have a personality I like,Filipino,Women,2,0.19
They have a personality I like,Filipino,Women,3,0.19
They have a personality I like,Filipino,Women,4,0.1
They have a personality I like,Filipino,Women,5,0.07
They have a personality I like,Filipino,Women,6,0.03
They have a sense of humour I like,Filipino,Women,1,0.16
They have a sense of humour I like,Filipino,Women,2,0.26
They have a sense of humour I like,Filipino,Women,3,0.21
They have a sense of humour I like,Filipino,Women,4,0.16
They have a sense of humour I like,Filipino,Women,5,0.12
They have a sense of humour I like,Filipino,Women,6,0.09
They are intelligent,Filipino,Women,1,0.17
They are intelligent,Filipino,Women,2,0.17
They are intelligent,Filipino,Women,3,0.21
They are intelligent,Filipino,Women,4,0.24
They are intelligent,Filipino,Women,5,0.15
They are intelligent,Filipino,Women,6,0.07
They have/make a decent amount of money,Filipino,Women,1,0.04
They have/make a decent amount of money,Filipino,Women,2,0.09
They have/make a decent amount of money,Filipino,Women,3,0.12
They have/make a decent amount of money,Filipino,Women,4,0.15
They have/make a decent amount of money,Filipino,Women,5,0.24
They have/make a decent amount of money,Filipino,Women,6,0.36
They have similar interests to me,Filipino,Women,1,0.13
They have similar interests to me,Filipino,Women,2,0.19
They have similar interests to me,Filipino,Women,3,0.17
They have similar interests to me,Filipino,Women,4,0.21
They have similar interests to me,Filipino,Women,5,0.16
They have similar interests to me,Filipino,Women,6,0.13
They are good looking,Finnish,Men,1,0.16
They are good looking,Finnish,Men,2,0.12
They are good looking,Finnish,Men,3,0.19
They are good looking,Finnish,Men,4,0.19
They are good looking,Finnish,Men,5,0.29
They are good looking,Finnish,Men,6,0.06
They have a personality I like,Finnish,Men,1,0.55
They have a personality I like,Finnish,Men,2,0.23
They have a personality I like,Finnish,Men,3,0.1
They have a personality I like,Finnish,Men,4,0.07
They have a personality I like,Finnish,Men,5,0.03
They have a personality I like,Finnish,Men,6,0.01
They have a sense of humour I like,Finnish,Men,1,0.11
They have a sense of humour I like,Finnish,Men,2,0.31
They have a sense of humour I like,Finnish,Men,3,0.25
They have a sense of humour I like,Finnish,Men,4,0.2
They have a sense of humour I like,Finnish,Men,5,0.11
They have a sense of humour I like,Finnish,Men,6,0.02
They are intelligent,Finnish,Men,1,0.07
They are intelligent,Finnish,Men,2,0.14
They are intelligent,Finnish,Men,3,0.22
They are intelligent,Finnish,Men,4,0.27
They are intelligent,Finnish,Men,5,0.25
They are intelligent,Finnish,Men,6,0.04
They have/make a decent amount of money,Finnish,Men,1,0.01
They have/make a decent amount of money,Finnish,Men,2,0.01
They have/make a decent amount of money,Finnish,Men,3,0.03
They have/make a decent amount of money,Finnish,Men,4,0.03
They have/make a decent amount of money,Finnish,Men,5,0.12
They have/make a decent amount of money,Finnish,Men,6,0.8
They have similar interests to me,Finnish,Men,1,0.1
They have similar interests to me,Finnish,Men,2,0.19
They have similar interests to me,Finnish,Men,3,0.2
They have similar interests to me,Finnish,Men,4,0.24
They have similar interests to me,Finnish,Men,5,0.2
They have similar interests to me,Finnish,Men,6,0.07
They are good looking,Finnish,Women,1,0.05
They are good looking,Finnish,Women,2,0.05
They are good looking,Finnish,Women,3,0.09
They are good looking,Finnish,Women,4,0.16
They are good looking,Finnish,Women,5,0.4
They are good looking,Finnish,Women,6,0.26
They have a personality I like,Finnish,Women,1,0.59
They have a personality I like,Finnish,Women,2,0.24
They have a personality I like,Finnish,Women,3,0.12
They have a personality I like,Finnish,Women,4,0.03
They have a personality I like,Finnish,Women,5,0.01
They have a personality I like,Finnish,Women,6,0.01
They have a sense of humour I like,Finnish,Women,1,0.14
They have a sense of humour I like,Finnish,Women,2,0.32
They have a sense of humour I like,Finnish,Women,3,0.28
They have a sense of humour I like,Finnish,Women,4,0.18
They have a sense of humour I like,Finnish,Women,5,0.06
They have a sense of humour I like,Finnish,Women,6,0.03
They are intelligent,Finnish,Women,1,0.07
They are intelligent,Finnish,Women,2,0.14
They are intelligent,Finnish,Women,3,0.24
They are intelligent,Finnish,Women,4,0.34
They are intelligent,Finnish,Women,5,0.17
They are intelligent,Finnish,Women,6,0.03
They have/make a decent amount of money,Finnish,Women,1,0.01
They have/make a decent amount of money,Finnish,Women,2,0.02
They have/make a decent amount of money,Finnish,Women,3,0.03
They have/make a decent amount of money,Finnish,Women,4,0.08
They have/make a decent amount of money,Finnish,Women,5,0.24
They have/make a decent amount of money,Finnish,Women,6,0.62
They have similar interests to me,Finnish,Women,1,0.15
They have similar interests to me,Finnish,Women,2,0.23
They have similar interests to me,Finnish,Women,3,0.24
They have similar interests to me,Finnish,Women,4,0.21
They have similar interests to me,Finnish,Women,5,0.11
They have similar interests to me,Finnish,Women,6,0.05
They are good looking,French,Men,1,0.24
They are good looking,French,Men,2,0.16
They are good looking,French,Men,3,0.19
They are good looking,French,Men,4,0.17
They are good looking,French,Men,5,0.2
They are good looking,French,Men,6,0.05
They have a personality I like,French,Men,1,0.39
They have a personality I like,French,Men,2,0.27
They have a personality I like,French,Men,3,0.13
They have a personality I like,French,Men,4,0.09
They have a personality I like,French,Men,5,0.07
They have a personality I like,French,Men,6,0.04
They have a sense of humour I like,French,Men,1,0.12
They have a sense of humour I like,French,Men,2,0.17
They have a sense of humour I like,French,Men,3,0.23
They have a sense of humour I like,French,Men,4,0.25
They have a sense of humour I like,French,Men,5,0.16
They have a sense of humour I like,French,Men,6,0.06
They are intelligent,French,Men,1,0.09
They are intelligent,French,Men,2,0.19
They are intelligent,French,Men,3,0.24
They are intelligent,French,Men,4,0.22
They are intelligent,French,Men,5,0.22
They are intelligent,French,Men,6,0.05
They have/make a decent amount of money,French,Men,1,0.01
They have/make a decent amount of money,French,Men,2,0.03
They have/make a decent amount of money,French,Men,3,0.04
They have/make a decent amount of money,French,Men,4,0.06
They have/make a decent amount of money,French,Men,5,0.09
They have/make a decent amount of money,French,Men,6,0.77
They have similar interests to me,French,Men,1,0.16
They have similar interests to me,French,Men,2,0.17
They have similar interests to me,French,Men,3,0.17
They have similar interests to me,French,Men,4,0.21
They have similar interests to me,French,Men,5,0.26
They have similar interests to me,French,Men,6,0.04
They are good looking,French,Women,1,0.11
They are good looking,French,Women,2,0.09
They are good looking,French,Women,3,0.11
They are good looking,French,Women,4,0.17
They are good looking,French,Women,5,0.35
They are good looking,French,Women,6,0.17
They have a personality I like,French,Women,1,0.42
They have a personality I like,French,Women,2,0.26
They have a personality I like,French,Women,3,0.17
